Barcode,Catalog Number,Catalog,Special Collections,Division,Order,Family,Subfamily,Tribe,Taxonomic Name (Filed As : Identified By : Identification Date),Other Taxonomic Names (Identification : Identified By : Date Identified),Name Hierarchy,Common Name (Name : Language),Type Citations (Scientific Name : Type Status : Verification Degree : Citation),Lectotypified By,Taxonomy Remarks,Collection Remarks,Collector(s),Collection Number,Date Collected,Biogeographic Region,Archipelago,Country,Province/State,District/County,Precise Locality,Island Name,Centroid Latitude,Centroid Longitude,Elevation (m),Conservation Status (Authority : Status),Habit,Microhabitat Description,Other Counts (Type : Value),Other Numbers (Type : Value),Cultivated,Recent/Fossil,Notes,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Field Id Number,Preservation Method,Embargo?,Depleted?,Storage Location,Record Last Modified,EZID
"02334226","1238335","Flowering plants and ferns","","","Rosales","Fabaceae","Faboideae","Abreae","Abrus precatorius L.","","3856 : Abrus precatorius L. : Fabaceae : Rosales : Dicotyledonae","culalis; guma gumar : I.; kasis; Keekeeinau; Keekeeinau; kolales aniti; Lele; Lias lisa; Miti Rapa; Moho; nikamoer; Poniu; totus; Uiui; Uiui; cashew; rosary pea; white lead tree; Cain ghe.; Quinget.; Peonia.; Jumbie; Jumbie Bead; Pois rouge.; pomea mataila","",,"","","Mearns, E. A.","s.n.","4 Jan 1906","42 - Malesia","","Philippines","Muslim Mindanao","","Dammi Island, Sulu Group","","","","",,"","",,,"","",,"","","","","","","","","","02 Nov 2017 17:30:00","http://n2t.net/ark:/65665/3e775ac70-cb19-4da9-9b15-a2d4dc148de8"
"02334225","1238334","Flowering plants and ferns","","","Rosales","Fabaceae","Faboideae","Abreae","Abrus precatorius L.","","3856 : Abrus precatorius L. : Fabaceae : Rosales : Dicotyledonae","culalis; guma gumar : I.; kasis; Keekeeinau; Keekeeinau; kolales aniti; Lele; Lias lisa; Miti Rapa; Moho; nikamoer; Poniu; totus; Uiui; Uiui; cashew; rosary pea; white lead tree; Cain ghe.; Quinget.; Peonia.; Jumbie; Jumbie Bead; Pois rouge.; pomea mataila","",,"","","Mearns, E. A.","s.n.","10 Jan 1906","42 - Malesia","","Philippines","","","East Bolod Island","","","","",,"","",,,"","",,"","","","","","","","","","02 Nov 2017 18:48:00","http://n2t.net/ark:/65665/341bc2fcf-ad9d-450a-ac9a-c77ca0bf8102"
"01218208","447389","Flowering plants and ferns","","","Malvales","Malvaceae","","","Abutilon indicum (L.) Sweet","","4983 : Abutilon indicum (L.) Sweet : Malvaceae : Malvales : Dicotyledonae","Anoda : Sinhala; madbas; Panagedi : Sinhala; Wal anoda; Mauve poilue : French","",,"","","Mearns, E. A.","1","21 Jan 1904","42 - Malesia","","Philippines","Mindanao","Zamboanga","","","","","",,"","",,,"","",,"","","","","","","","","","06 Sep 2018 13:40:00","http://n2t.net/ark:/65665/39dff25bf-0889-415a-83cf-5a3178e77c3b"
"01295521","625731","Flowering plants and ferns","","","Euphorbiales","Euphorbiaceae","","","Acalypha angatensis Blanco","","4407 : Acalypha angatensis Blanco : Euphorbiaceae : Euphorbiales : Dicotyledonae","","",,"","","Mearns, E. A.","2525","Apr 1907","42 - Malesia","","Philippines","Benguet","","Baguio, Luzon.","","","","",,"","",,,"","",,"","","","","","","","","","08 Sep 2016 17:15:00","http://n2t.net/ark:/65665/3effec46d-cb84-4472-bf06-54386c840917"
"01295638","447394","Flowering plants and ferns","","","Euphorbiales","Euphorbiaceae","","","Acalypha indica L.","","4407 : Acalypha indica L. : Euphorbiaceae : Euphorbiales : Dicotyledonae","mumutong umai; Hierba del cancer","",,"","","Mearns, E. A.","6","21 Jan 1904","42 - Malesia","","Philippines","Mindanao","","Zamboanga.","","","","",,"","",,,"","",,"","","","","","","","","","08 Sep 2016 17:15:00","http://n2t.net/ark:/65665/3027ba979-1ec8-4452-a985-23995a46ea18"
"02864957","447608","Flowering plants and ferns","","","Scrophulariales","Acanthaceae","","","Acanthus ebracteatus Vahl","","7981 : Acanthus ebracteatus Vahl : Acanthaceae : Scrophulariales : Dicotyledonae","","",,"","","Mearns, E. A.","s.n.","20 Apr 1904","42 - Malesia","","Philippines","","","Surigao; Mindanao.","","","","",,"","",,,"","",,"","","","","","","","","","24 Sep 2018 13:33:00","http://n2t.net/ark:/65665/3d22bc530-9825-4916-b9c5-8c5a8296448b"
"02864966","1238340","Flowering plants and ferns","","","Scrophulariales","Acanthaceae","","","Acanthus ebracteatus Vahl","","7981 : Acanthus ebracteatus Vahl : Acanthaceae : Scrophulariales : Dicotyledonae","","",,"","","Mearns, E. A.","s.n.","4 Jan 1906","42 - Malesia","","Philippines","Muslim Mindanao","","Dammi Island, Sulu group.","","","","",,"","",,,"","",,"","","","","","","","","","17 Sep 2018 18:32:00","http://n2t.net/ark:/65665/38c4667c6-a976-4b72-9c71-c7848c6d9ca9"
"03544374","447493","Flowering plants and ferns","","","Caryophyllales","Amaranthaceae","","","Achyranthes aspera L.","","2328 : Achyranthes aspera L. : Amaranthaceae : Caryophyllales : Dicotyledonae","Pija de gata; tamatama; gogo; gogol; lau tama tama; suga-dugodok; kaleklek; piri piri; likauka; Kaau; nikoke; louch belulu; Taferi Moh; tikengtutui; hoho; liko, ligo; huhu; eeg'gohur; osenlikendinkep : Pohnpeian","",,"","","Mearns, E. A.","134","25 Jan 1904","42 - Malesia","","Philippines","","","Zamboanga, Mindanao.","","","","",,"","",,,"","",,"","","","","","","","","","12 Oct 2019 06:43:00","http://n2t.net/ark:/65665/3b26bc523-ba9b-47cd-a089-46fa6f18425c"
"01775904","625865","Flowering plants and ferns","","","Asterales","Asteraceae","Asteroideae","Heliantheae","Acmella grandiflora var. grandiflora","","9207 A : Acmella grandiflora var. grandiflora : Asteraceae : Asterales : Dicotyledonae","","",,"","","Mearns, E. A.","Bur.of Sci.4537","2 Aug 1907","42 - Malesia","","Philippines","","","Benguet Prov., Luzon","","","",2134,,"","",,,"","",,"","","","","","","","","","04 Aug 2017 13:46:00","http://n2t.net/ark:/65665/33e27f85e-bee2-4de2-a403-7472339bfc8f"
"03059165","628688","Flowering plants and ferns","","","Myrtales","Myrtaceae","","","Acmena acuminatissima (Blume) Merr. & L.M. Perry","","5583 A : Acmena acuminatissima (Blume) Merr. & L.M. Perry : Myrtaceae : Myrtales : Dicotyledonae","","",,"","","Mearns, E. A.; Hutchinson, W. I.","Forestry Bureau 4771","1 May 1906","42 - Malesia","","Philippines","","","Mt. Malindang. Prov. of Misams. Mindanao.","","","","",,"","",,,"","",,"","","","","","","","","","10 Jan 2019 14:51:00","http://n2t.net/ark:/65665/35c491f5c-7b0d-49ba-b93d-e0298a6efd84"
"02081500","447586","Flowering plants and ferns","","","Cyperales","Cyperaceae","","","Actinoscirpus grossus (L. f.) Goetgh. & D.A. Simpson var. grossus : Strong, M. T., (US), Smithsonian Institution - National Museum of Natural History (UNITED STATES) : 2020","Schoenoplectus grossus (L. f.) Palla","0468 * : Actinoscirpus grossus (L. f.) Goetgh. & D.A. Simpson var. grossus : Cyperaceae : Cyperales : Monocotyledonae","Basijang; iboes; iboes bolon","",,"","","Mearns, E. A.","s.n.","3 Mar 1904","42 - Malesia","","Philippines","","","Philippine Islands. Cottobato: Mindanao","","","","",,"","",,,"","",,"","","","","","","","","","20 Jan 2020 17:35:00","http://n2t.net/ark:/65665/31b847718-ec79-4ffa-8b46-2dbd8b1efeb9"
"01488965","628500","Flowering plants and ferns","","","Polypodiales","Pteridaceae","","","Adiantum capillus-veneris L.","","F118 : Adiantum capillus-veneris L. : Pteridaceae : Polypodiales : Pteridophyte","common maidenhair","",,"","","Mearns, E. A.","65","10 Dec 1905","42 - Malesia","","Philippines","","","The Phippine Islands, Luzon, Mt. Santo Tomas [interpreted]","","","",2103,,"","",,,"","",,"","","","","","","","","","01 Nov 2016 00:21:00","http://n2t.net/ark:/65665/39bb062e3-9e31-4c90-9fe4-4e48dcbf70cb"
"00113947","708891","Flowering plants and ferns","Type Register","","Theales","Pentaphylacaceae","","","Adinandra montana Merr.","","5156 : Adinandra montana Merr. : Pentaphylacaceae : Theales : Dicotyledonae","","Adinandra montana Merr. : Isotype, Merrill, E. D. 1910. Philipp. J. Sci., C. 5: 363., Original publication and alleged type specimen examined",,"","","Mearns, E. A.; Hutchinson, W. I.","4558","May 1908","42 - Malesia","","Philippines","Misamis Occidental","","Mt. Malanding.","Mindanao","","","",,"","",,"fiche number : 0552/B08","","",,"","","","","","","","","","29 Aug 2016 19:21:00","http://n2t.net/ark:/65665/351200756-9725-4137-b44b-b1b05ee09e87"
"00077925","708938","Flowering plants and ferns","","","Scrophulariales","Gesneriaceae","","","Agalmyla chorisepala (C.B. Clarke) Hilliard & B.L. Burtt : Skog, L. E. : 2002","","7826 : Agalmyla chorisepala (C.B. Clarke) Hilliard & B.L. Burtt : Gesneriaceae : Scrophulariales : Dicotyledonae","","",,"","","Mearns, E. A.; Hutchinson, W. I.","4740","May 1906","","","Philippines","","","Mt. Malindang, Prov. of Misamis","Mindanao","","","",,"","",,,"","",,"","","","","","","","","","31 Oct 2017 16:13:00","http://n2t.net/ark:/65665/30c131fd9-abb8-4d06-bf03-99fad6d49daf"
"00077934","447647","Flowering plants and ferns","","","Scrophulariales","Gesneriaceae","","","Agalmyla glabra (Copel. ex Merr.) Hilliard & B.L. Burtt : Skog, L. E. : 2002","Dichrotrichum glabrum Copel. ex Merr.","7826 : Agalmyla glabra (Copel. ex Merr.) Hilliard & B.L. Burtt : Gesneriaceae : Scrophulariales : Dicotyledonae","","",,"","","Mearns, E. A.","s.n.","26 Jun 1904","","","Philippines","","","Mt. Apo","Mindanao","","",1829,,"","",,,"","",,"","","","","","","","","","31 Oct 2017 15:29:00","http://n2t.net/ark:/65665/336fe9f71-7913-42c1-a2cc-8d4b737cb655"
"02063113","447709","Flowering plants and ferns","","","Coniferales","Pinaceae","","","Agathis philippinensis","","0020 : Agathis philippinensis : Pinaceae : Coniferales : Gymnospermae","","",,"","","Mearns, E. A.","s.n.","10 Jul 1904","42 - Malesia","","Philippines","","","Mt. Apo, Mindanao.","","","",1829,,"","",,,"","",,"","","","","","","","","","19 Dec 2017 16:01:00","http://n2t.net/ark:/65665/3f442196b-ec97-466f-a075-ca6883ae6ed1"
"02063116","447711","Flowering plants and ferns","","","Coniferales","Pinaceae","","","Agathis philippinensis","","0020 : Agathis philippinensis : Pinaceae : Coniferales : Gymnospermae","","",,"","","Mearns, E. A.","s.n.","10 Jul 1904","42 - Malesia","","Philippines","","","Day-noir","","","",1829,,"","",,,"","",,"","","","","","","","","","19 Dec 2017 16:01:00","http://n2t.net/ark:/65665/33033e0fc-af80-48ef-8cd2-b6b35da8d3f1"
"02063104","628685","Flowering plants and ferns","","","Coniferales","Pinaceae","","","Agathis rumphii (C. Presl)","","0020 : Agathis rumphii (C. Presl) : Pinaceae : Coniferales : Gymnospermae","","",,"","","Mearns, E. A.; Hutchinson, W. J.","Forestry Bureau 4668","May 1906","42 - Malesia","","Philippines","","","Mount Malindang, Prov. of Misamis [interpreted], Mindanao.","","","","",,"","",,,"","",,"","","","","","","","","","19 Dec 2017 15:58:00","http://n2t.net/ark:/65665/3e672170f-aabe-4a20-bba2-cfba3348343d"
"00345092","706260","Flowering plants and ferns","Type Register","","Sapindales","Meliaceae","","","Aglaia luzoniensis var. trifoliata Merr. & Rolfe","Aglaia odortissima Blume : Pannell, C. M. : 1988","4189 : Aglaia luzoniensis var. trifoliata Merr. & Rolfe : Meliaceae : Sapindales : Dicotyledonae","","Aglaia luzoniensis var. trifoliata Merr. & Rolfe : Lectotype, Pannell, C. M. 1992. Kew Bull. Add. Ser. 16: 238., ","Pannell, C. M. 1992. Kew Bull. Add. Ser. 16: 238.","","","Mearns, E. A.; Hutchinson, W. I.","4724","May 1906","42 - Malesia","","Philippines","Misamis Occidental","","Mount Malindang.","Mindanao","","","",,"","",,"fiche number : 0455/D10","","",,"","","","","","","","","","29 Aug 2016 19:32:00","http://n2t.net/ark:/65665/3d0d57d7f-9651-438c-b999-25e700fd035b"
"00093497","1238258","Flowering plants and ferns","Type Register","","Orchidales","Orchidaceae","","","Agrostophyllum malindangense Ames","","1590 : Agrostophyllum malindangense Ames : Orchidaceae : Orchidales : Monocotyledonae","","Agrostophyllum malindangense Ames : Isotype, Ames, O. 1911. Philipp. J. Sci. 6: 50., Original publication and alleged type specimen examined",,"","","Mearns, E. A.; Hutchinson, W. I.","For. Bur. 4610","25 May 1906","42 - Malesia","","Philippines","Misamis Occidental","","","Mindanao","","","",,"","",,"fiche number : 0151/B09","","",,"","","","","","","","","","27 Apr 2017 18:00:00","http://n2t.net/ark:/65665/33570af83-48dd-4fa5-9b2e-fe55decd3d0d"
"00363147","712229","Flowering plants and ferns","","","Orchidales","Orchidaceae","","","Agrostophyllum malindangense Ames","","1590 : Agrostophyllum malindangense Ames : Orchidaceae : Orchidales : Monocotyledonae","","",,"","","Mearns, E. A.; Hutchinson, W. I.","4610","May 1906","42 - Malesia","","Philippines","Misamis Occidental / Misamis Oriental","","","Mindanao","","","",,"","",,,"","",,"","","","","","","","","","27 Apr 2017 18:08:00","http://n2t.net/ark:/65665/351c90805-bdc0-4897-b574-11e9e6c7403e"
"00093498","900317","Flowering plants and ferns","Type Register","","Orchidales","Orchidaceae","","","Agrostophyllum mearnsii Ames","","1590 : Agrostophyllum mearnsii Ames : Orchidaceae : Orchidales : Monocotyledonae","","Agrostophyllum mearnsii Ames : Isotype, Ames, O. 1914 [""1913-1914""]. Philipp. J. Sci. 8: 420., Original publication and alleged type specimen examined",,"","","Mearns, E. A.; Hutchinson, W. I.","For. Bur. 4607","4 Oct 1911","42 - Malesia","","Philippines","Misamis Occidental","","","Mindanao","","","",,"","",,"fiche number : 0151/B10","","",,"","","","","","","","","","27 Apr 2017 18:00:00","http://n2t.net/ark:/65665/3d76a690f-16a7-4353-b296-cee9d18e9660"
"01622769","628465","Flowering plants and ferns","","","Asterales","Asteraceae","Pertyoideae","Pertyeae","Ainsliaea reflexa Merr.","","9513 : Ainsliaea reflexa Merr. : Asteraceae : Asterales : Dicotyledonae","","",,"","","Mearns, E. A.","20","10 Dec 1905","42 - Malesia","","Philippines","","","Philippine Islands, Luzon, Mt. Santo Tomas","","","",2237,,"","",,,"","",,"","","","","","","","","","04 Aug 2017 13:12:00","http://n2t.net/ark:/65665/38670101b-6649-4c82-b58d-d8bdd5b8b8be"
"01622770","628464","Flowering plants and ferns","","","Asterales","Asteraceae","Pertyoideae","Pertyeae","Ainsliaea reflexa Merr.","","9513 : Ainsliaea reflexa Merr. : Asteraceae : Asterales : Dicotyledonae","","",,"","","Mearns, E. A.","19","10 Dec 1905","42 - Malesia","","Philippines","","","Philippine Islands, Luzon, summit of Santo Tomas","","","",2237,,"","",,,"","",,"","","","","","","","","","04 Aug 2017 13:12:00","http://n2t.net/ark:/65665/3f68ecb7f-a8cd-494c-bb4f-a95edb51f84b"
"01498651","625864","Flowering plants and ferns","","","Polypodiales","Pteridaceae","","","Aleuritopteris farinosa (Forssk.) Fée","","F137 : Aleuritopteris farinosa (Forssk.) Fée : Pteridaceae : Polypodiales : Pteridophyte","","",,"","","Mearns, E. A.","Bur. of Sci. 4526","2 Aug 1907","42 - Malesia","","Philippines","","","Benguet Prov., Luzon.","","","",2134,,"","",,,"","",,"","","","","","","","","","21 Sep 2016 05:16:00","http://n2t.net/ark:/65665/3f785c46a-1b16-490e-bcef-0003205f62f0"
"03242915","447568","Flowering plants and ferns","","","Gentianales","Apocynaceae","","","Allamanda cathartica L.","","6560 : Allamanda cathartica L. : Apocynaceae : Gentianales : Dicotyledonae","Alamanda; boenga padang-padang; buttercup, yellow bell : English; chanpaka (cumgei); Kajoe salaj; Mis, cup of gold; pahtou : Pohnpeian; si boenga gorsing; Tombaga-tombaga; charru gringu : Zapotec; copita : Zapotec; charro de gringo : Spanish; charro gringo : Spanish; copita : Spanish","",,"","","Mearns, E. A.","s.n.","25 Feb 1904","42 - Malesia","","Philippines","Muslim Mindanao","","Cagayan; Sulu Island.","","","","",,"","",,,"","",,"","","","","","","","","","08 Mar 2019 16:18:00","http://n2t.net/ark:/65665/3fa508cee-005c-4a00-abe0-fd6ec7bde7f0"
"03600730","6125856","Flowering plants and ferns","","","Caryophyllales","Caryophyllaceae","","","Alsine laxa Jord.","","2443 B* : Alsine laxa Jord. : Caryophyllaceae : Caryophyllales : Dicotyledonae","","",,"","","Mearns, E. A.","Bureau of Science 4440","2 Aug 1907","42 - Malesia","","Philippines","","","Benguet Prov., Luzon.","","","",2134,,"","",,,"","",,"","","","","","","","","","05 Nov 2019 00:22:00","http://n2t.net/ark:/65665/3ac3bf559-eba4-4381-98bd-ab5dd336afb1"
"03542812","447399","Flowering plants and ferns","","","Caryophyllales","Amaranthaceae","","","Amaranthus viridis L.","","2299 : Amaranthus viridis L. : Amaranthaceae : Caryophyllales : Dicotyledonae","bajam; bajam oetan; bayang; longolongo'uha : Tongan; si aroem; si avoem na vata; Tupu'a : Tongan; va'ine'ara; walmula shabut; waluwol; Epinard; Zerpina.","",,"","","Mearns, E. A.","11","21 Jan 1904","42 - Malesia","","Philippines","","","Zamboanga, Mindanao.","","","","",,"","",,,"","",,"","","","","","","","","","12 Oct 2019 04:22:00","http://n2t.net/ark:/65665/36163672a-2f42-42b3-a0b3-491005b27d6d"
"03528920","628616","Flowering plants and ferns","","","Santalales","Loranthaceae","","","Amyema benguetensis Danser","","2074 B : Amyema benguetensis Danser : Loranthaceae : Santalales : Dicotyledonae","","",,"","","Mearns, E. A.","Bureau of Science 2712","Apr 1907","42 - Malesia","","Philippines","","","Baguio, Province of Benguet, Luzon.","","","","",,"","",,,"","",,"","","","","","","","","","20 Sep 2019 14:06:00","http://n2t.net/ark:/65665/35287e93d-d475-4af7-99ea-3bf01c157f7f"
"01734949","628457","Flowering plants and ferns","","","Asterales","Asteraceae","Asteroideae","Gnaphalieae","Anaphalis adnata DC.","","8983 : Anaphalis adnata DC. : Asteraceae : Asterales : Dicotyledonae","","",,"","","Mearns, E. A.","5","10 Oct 1905","42 - Malesia","","Philippines","","","The Philippine Islands. Luzon, summit of Santo Tomas","","","",2237,,"","",,,"","",,"","","","","","","","","","04 Aug 2017 13:50:00","http://n2t.net/ark:/65665/3275dbc6e-0b18-4bd8-8695-5ae65812ffaf"
"01734944","625838","Flowering plants and ferns","","","Asterales","Asteraceae","Asteroideae","Gnaphalieae","Anaphalis contorta (D. Don) Hook. f.","","8983 : Anaphalis contorta (D. Don) Hook. f. : Asteraceae : Asterales : Dicotyledonae","","",,"","","Mearns, E. A.","Bur. of Sci. 4329","Jul 1907","42 - Malesia","","Philippines","","","The Philippines. ""Haight's in the Oaks"", Benguet Prov, Luzon.","","","","",,"","",,,"","",,"","","","","","","","","","04 Aug 2017 13:49:00","http://n2t.net/ark:/65665/3bb4390c8-04b4-4831-afa5-92dc46b98fec"
"01734935","628498","Flowering plants and ferns","","","Asterales","Asteraceae","Asteroideae","Gnaphalieae","Anaphalis sp.","","8983 : Anaphalis sp. : Asteraceae : Asterales : Dicotyledonae","Aidelwais : Bahasa Indonesia","",,"","","Mearns, E. A.","62","10 Dec 1905","42 - Malesia","","Philippines","","","The Phillipine Islands. Luzon - Mt. Santo Tomas [interpreted]","","","",2210,,"","",,,"","",,"","","","","","","","","","04 Aug 2017 13:51:00","http://n2t.net/ark:/65665/3c4ee36a7-b668-4c7e-9f3d-a9f6cc60791b"
"01404598","628619","Flowering plants and ferns","","","Marattiales","Marattiaceae","","","Angiopteris angustifolia C. Presl","","F020 : Angiopteris angustifolia C. Presl : Marattiaceae : Marattiales : Pteridophyte","","",,"","","Mearns, E. A.","Bureau of Science 2829","Apr 1907","42 - Malesia","","Philippines","","","Province of Benguet. Luzon.","","","","",,"","",,,"","",,"","","","","","","","","","20 Jul 2016 16:56:00","http://n2t.net/ark:/65665/3d186260b-57f1-42e1-80f5-32a49ff5a921"
"02798749","447432","Flowering plants and ferns","","","Lamiales","Lamiaceae","","","Anisomeles indica (L.) Kuntze","","7284 : Anisomeles indica (L.) Kuntze : Lamiaceae : Lamiales : Dicotyledonae","soelaseh doelang; soelaseh; soelaseh","",,"","","Mearns, E. A.","46","25 Feb 1904","42 - Malesia","","Philippines","Muslim Mindanao","","Cagayan, Sulu Island.","","","","",,"","",,,"","",,"","","","","","","","","","25 Apr 2018 15:25:00","http://n2t.net/ark:/65665/30281f4e1-148b-49e0-b359-3cc6ad71cac0"
"01269640","625729","Flowering plants and ferns","Crowdsourcing Project","","Euphorbiales","Euphorbiaceae","","","Antidesma digitaliforme Tul.","","4327 : Antidesma digitaliforme Tul. : Euphorbiaceae : Euphorbiales : Dicotyledonae","","",,"","","Mearns, E. A.","2516","Apr 1907","42 - Malesia","","Philippines","Cordillera","Benguet","Baguio, Luzon","","","","",,"","",,,"","","Crowdsourcing: Transcribed by digital volunteers","","","","","","","","","","08 Sep 2016 20:22:00","http://n2t.net/ark:/65665/3c9041202-b753-4e93-9ad7-4fdb4a17eaf2"
"00363278","447715","Flowering plants and ferns","","","Orchidales","Orchidaceae","","","Appendicula micrantha Lindl.","","1590 A : Appendicula micrantha Lindl. : Orchidaceae : Orchidales : Monocotyledonae","","",,"","","Mearns, E. A.","s.n.","11 Jul 1904","42 - Malesia","","Philippines","","","","Mindanao","","","",,"","",,,"","",,"","","","","","","","","","27 Apr 2017 18:05:00","http://n2t.net/ark:/65665/3b243c651-6882-4308-b98f-8f393fa80ec9"
"01156021","628476","Flowering plants and ferns","","","Apiales","Araliaceae","","","Aralia hypoleuca C. Presl","","5881 : Aralia hypoleuca C. Presl : Araliaceae : Apiales : Dicotyledonae","","",,"","","Mearns, E. A.","36","10 Dec 1905","42 - Malesia","","Philippines","Benguet","","Near summit of Mt. Santo Tomas","","","",2225,,"","",,,"","",,"","","","","","","","","","10 Jan 2019 22:14:00","http://n2t.net/ark:/65665/36f6db7fb-00fb-4c90-992b-91a105b8a567"
"00113744","706263","Flowering plants and ferns","Type Register; Type of 2 names","","Primulales","Myrsinaceae","","","Ardisia diffusa Merr. : Stone, B. C. : 1993","Ardisia milleflora Mez, nom. illeg. superfl.","6285 : Ardisia diffusa Merr. : Myrsinaceae : Primulales : Dicotyledonae","","Ardisia diffusa Merr. : Isotype, Merrill, E. D. 1910. Philipp. J. Sci., C. 5: 216., Original publication and alleged type specimen examined; Ardisia milleflora Mez, nom. illeg. superfl. : Isotype, Mez, C. C. 1920. Repert. Spec. Nov. Regni Veg. 16: 410., Original publication and alleged type specimen examined",,"Type of both Ardisia diffusa Merr. (1910) and Ardisia milleflora Mez (1920), nom. illeg.","","Mearns, E. A.; Hutchinson, W. I.","For. Bur. 4759","May 1906","42 - Malesia","","Philippines","Misamis Occidental","","Mount Malindang.","Mindanao","","","",,"","",,"fiche number : 0667/E06","","","Cataloger remarks: Annotated by B.C. Stone (1993) as ""lectotype"", apparently ined.","","","","","","","","","","29 Aug 2016 19:45:00","http://n2t.net/ark:/65665/3f3f311bf-0bd9-4bf0-8ca3-0c303dcea692"
"03112765","625832","Flowering plants and ferns","","","Primulales","Myrsinaceae","","","Ardisia marginata Blume","","6285 : Ardisia marginata Blume : Myrsinaceae : Primulales : Dicotyledonae","","",,"","","Mearns, E. A.","Bu. of science 4271","Jul 1907","42 - Malesia","","Philippines","","","Benguet Prov., Luzon.","","","",2134,,"","",,,"","",,"","","","","","","","","","04 Feb 2019 17:48:00","http://n2t.net/ark:/65665/399291c42-4e08-41c4-8f52-8cac920b7124"
"03112831","628481","Flowering plants and ferns","","","Primulales","Myrsinaceae","","","Ardisia pardalina Mez","","6285 : Ardisia pardalina Mez : Myrsinaceae : Primulales : Dicotyledonae","","",,"","","Mearns, E. A.","42","10 Dec 1905","42 - Malesia","","Philippines","","","Luzon - Mt. Santo Tomas.","","","",2134,,"","",,,"","",,"","","","","","","","","","04 Feb 2019 16:19:00","http://n2t.net/ark:/65665/32d9a7823-11cb-46c7-8653-ea5b1ac2029c"
"03112970","708924","Flowering plants and ferns","","","Primulales","Myrsinaceae","","","Ardisia scalaris Mez","","6285 : Ardisia scalaris Mez : Myrsinaceae : Primulales : Dicotyledonae","","",,"","","Mearns, E. A.; Hutchinson, W. I.","Forestry Bureau 4701","May 1906","42 - Malesia","","Philippines","","","Mt. Malindang. Prov. of Misamis. Mindanao.","","","","",,"","",,,"","",,"","","","","","","","","","04 Feb 2019 17:03:00","http://n2t.net/ark:/65665/3dc3a6cd8-9c02-4f67-ab2d-905b265eeb1e"
"03112942","625853","Flowering plants and ferns","","","Primulales","Myrsinaceae","","","Ardisia serrata (Cav.) Pers.","","6285 : Ardisia serrata (Cav.) Pers. : Myrsinaceae : Primulales : Dicotyledonae","","",,"","","Mearns, E. A.","But. of Sci. 4402","Jul 1907","42 - Malesia","","Philippines","","","Benguet Prov., Luzon.","","","",610,,"","",,,"","",,"","","","","","","","","","04 Feb 2019 16:30:00","http://n2t.net/ark:/65665/3cdbd2c8f-4f21-4be6-b168-36e4b31aa88c"
"03113036","447431","Flowering plants and ferns","","","Primulales","Myrsinaceae","","","Ardisia squamulosa C. Presl","","6285 : Ardisia squamulosa C. Presl : Myrsinaceae : Primulales : Dicotyledonae","","",,"","","Mearns, E. A.","45","25 Feb 1904","42 - Malesia","","Philippines","Muslim Mindanao","","Cagayan-Sulu Island.","","","","",,"","",,,"","",,"","","","","","","","","","04 Feb 2019 16:43:00","http://n2t.net/ark:/65665/37d4adcbb-a898-417c-8bb9-09dec37b0c8b"
"00017001","447578","Flowering plants and ferns","","","Arecales","Arecaceae","","","Arenga ambong","","P074 : Arenga ambong : Arecaceae : Arecales : Monocotyledonae","","",,"","","Mearns, E. A.","s.n.","25 Feb 1904","42 - Malesia","","Philippines","Sulu","","Cagayan [Sulu Archipelago]","Cagayan Sulu [Cagayan]","","","",,"","",,,"","",,"","","","","","","","","","29 Aug 2016 21:06:00","http://n2t.net/ark:/65665/31774f037-ce6e-4e27-947b-e48675b1d1f0"
"00604214","625723","Flowering plants and ferns","Type Register","","Cyperales","Poaceae","Aristidoideae","Aristideae","Aristida tenuisetulosa var. arenarioides Henrard","","G353 : Aristida tenuisetulosa var. arenarioides Henrard : Poaceae : Cyperales : Monocotyledonae","","Aristida tenuisetulosa var. arenarioides Henrard : Isotype, Henrard, J. T. 1929. Meded. Rijks-Herb. 58: 108,114., ",,"","","Mearns, E. A.","Bur. Sci. 2334","Jan 1907 to Feb 1907 (-- Jan 1907 to -- Feb 1907)","42 - Malesia","","Philippines","Ilocos Norte","","","Luzon","","","",,"","",,,"","",,"","","","","","","","","","17 Aug 2016 21:47:00","http://n2t.net/ark:/65665/39df5fb28-dd31-4e78-9340-2f9b3defc6b4"
"01088844","447457","Flowering plants and ferns","","","Urticales","Moraceae","","","Artocarpus heterophyllus Lam.","","1946 : Artocarpus heterophyllus Lam. : Moraceae : Urticales : Dicotyledonae","Nanca; Lanca; Breadfruit : English; nongka; Baramich; Nangka (Malay); Jackfruit; Nanka; Nangka; jackfruit; Jack tree.; Jack tree.","",,"","","Mearns, E. A.","89","21 Jan 1904","42 - Malesia","","Philippines","Zamboanga","","","Mindanao","","","",,"","",,,"","",,"","","","","","","","","","03 Jan 2020 21:39:00","http://n2t.net/ark:/65665/3bf51c5fa-80b8-4a01-8b0a-82831fea4ba3"
