Barcode,Catalog Number,Catalog,Special Collections,Division,Order,Family,Subfamily,Tribe,Taxonomic Name (Filed As : Identified By : Identification Date),Other Taxonomic Names (Identification : Identified By : Date Identified),Name Hierarchy,Common Name (Name : Language),Type Citations (Scientific Name : Type Status : Verification Degree : Citation),Lectotypified By,Taxonomy Remarks,Collection Remarks,Collector(s),Collection Number,Date Collected,Biogeographic Region,Archipelago,Country,Province/State,District/County,Precise Locality,Island Name,Centroid Latitude,Centroid Longitude,Elevation (m),Conservation Status (Authority : Status),Habit,Microhabitat Description,Other Counts (Type : Value),Other Numbers (Type : Value),Cultivated,Recent/Fossil,Notes,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Field Id Number,Preservation Method,Embargo?,Depleted?,Storage Location,Record Last Modified,EZID
"02839412","447392","Flowering plants and ferns","","","Solanales","Solanaceae","","","Solanum cumingii Dunal","","7407 : Solanum cumingii Dunal : Solanaceae : Solanales : Dicotyledonae","","",,"","","Mearns, E. A.","4","21 Jan 1904","42 - Malesia","","Philippines","","","Zamboanga, Mindanao.","","","","",,"","",,,"","",,"","","","","","","","","","14 Sep 2018 22:15:00","http://n2t.net/ark:/65665/3099a5359-9b69-4ae5-a862-935157db42ed"
"02839465","447446","Flowering plants and ferns","","","Solanales","Solanaceae","","","Solanum lasiocarpum Dunal","","7407 : Solanum lasiocarpum Dunal : Solanaceae : Solanales : Dicotyledonae","kaubasu; latteoeng; lattoejoeng; sontoman; tarong sulok : Kadayan; terong pipit : Malay (Brunei); tokung : Sungei","",,"","","Mearns, E. A.","74(+96)","16 Feb 1904","42 - Malesia","","Philippines","","","Sandangan Bay; Mindanao.","","","","",,"","",,,"","",,"","","","","","","","","","14 Sep 2018 19:21:00","http://n2t.net/ark:/65665/3379d29fe-bac3-4876-aea7-6c45726a0df4"
"02839466","447445","Flowering plants and ferns","","","Solanales","Solanaceae","","","Solanum lasiocarpum Dunal","","7407 : Solanum lasiocarpum Dunal : Solanaceae : Solanales : Dicotyledonae","kaubasu; latteoeng; lattoejoeng; sontoman; tarong sulok : Kadayan; terong pipit : Malay (Brunei); tokung : Sungei","",,"","","Mearns, E. A.","73","16 Feb 1904","42 - Malesia","","Philippines","","","Sindangan Bay; Mindanao.","","","","",,"","",,,"","",,"","","","","","","","","","14 Sep 2018 20:56:00","http://n2t.net/ark:/65665/35e708c83-b70e-4162-ad5c-29a9d426255e"
"02839507","625772","Flowering plants and ferns","","","Solanales","Solanaceae","","","Solanum retrorsum Elmer","","7407 : Solanum retrorsum Elmer : Solanaceae : Solanales : Dicotyledonae","","",,"","","Mearns, E. A.","Bureau of Science 3375","May 1907","42 - Malesia","","Philippines","","","Province of Benguet, Luzon.","","","","",,"","",,,"","",,"","","","","","","","","","14 Sep 2018 22:52:00","http://n2t.net/ark:/65665/3ff15d211-48e4-42e5-9af4-3975759170d9"
"02839478","1238328","Flowering plants and ferns","","","Solanales","Solanaceae","","","Solanum sp.","","7407 : Solanum sp. : Solanaceae : Solanales : Dicotyledonae","","",,"","","Mearns, E. A.","s.n.","4 Jan 1906","42 - Malesia","","Philippines","Muslim Mindanao","","Dammi Island, Sulu group.","","","","",,"","",,,"","",,"","","","","","","","","","14 Sep 2018 21:13:00","http://n2t.net/ark:/65665/3fe18f7f6-2336-496a-9697-8a8be0311ede"
"01692257","625839","Flowering plants and ferns","","","Asterales","Asteraceae","Asteroideae","Astereae","Solidago virgaurea L.","","8849 : Solidago virgaurea L. : Asteraceae : Asterales : Dicotyledonae","","",,"","","Mearns, E. A.","Bur. of Sci. 4335","Jul 1907","42 - Malesia","","Philippines","","","Haights in the Oaks, Benguet Prov., Luzon","","","",2134,,"","",,,"","",,"","","","","","","","","","04 Aug 2017 13:33:00","http://n2t.net/ark:/65665/395b5157c-a302-47cd-b2ed-f507589ccdb4"
"00323407","447638","Flowering plants and ferns","","","Orchidales","Orchidaceae","","","Spathoglottis plicata Blume","","1553 A : Spathoglottis plicata Blume : Orchidaceae : Orchidales : Monocotyledonae","vavara; o roma ma naura : Tobelorese; oketi; uto uto; Heba : Orokaiva; Kohn : Maibrat; Philippine ground orchid","",,"","","Mearns, E. A.","s.n.","21 Apr 1904","42 - Malesia","","Philippines","Surigao del Norte","","","Dinagat","","","",,"","",,,"","",,"","","","","","","","","","27 Apr 2017 18:04:00","http://n2t.net/ark:/65665/32c7a0ece-42d6-4229-9de8-76886a3723be"
"00323406","447490","Flowering plants and ferns","","","Orchidales","Orchidaceae","","","Spathoglottis plicata Blume","","1553 A : Spathoglottis plicata Blume : Orchidaceae : Orchidales : Monocotyledonae","vavara; o roma ma naura : Tobelorese; oketi; uto uto; Heba : Orokaiva; Kohn : Maibrat; Philippine ground orchid","",,"","","Mearns, E. A.","131","25 Sep 1903","42 - Malesia","","Philippines","","","","Mindanao","","","",,"","",,,"","",,"","","","","","","","","","27 Apr 2017 18:04:00","http://n2t.net/ark:/65665/36f45e2bc-1e22-47c9-9909-366d9c9083cb"
"00323391","447710","Flowering plants and ferns","","","Orchidales","Orchidaceae","","","Spathoglottis plicata Blume","","1553 A : Spathoglottis plicata Blume : Orchidaceae : Orchidales : Monocotyledonae","vavara; o roma ma naura : Tobelorese; oketi; uto uto; Heba : Orokaiva; Kohn : Maibrat; Philippine ground orchid","",,"","","Mearns, E. A.","s.n.","10 Jul 1904","42 - Malesia","","Philippines","Davao","","","Mindanao","","","",,"","",,,"","",,"","","","","","","","","","27 Apr 2017 18:03:00","http://n2t.net/ark:/65665/3be2b2953-e725-4cf3-bcf6-8249f00589f7"
"00323420","615639","Flowering plants and ferns","","","Orchidales","Orchidaceae","","","Spathoglottis tomentosa","","1553 A : Spathoglottis tomentosa : Orchidaceae : Orchidales : Monocotyledonae","","",,"","","Mearns, E. A.","s.n.","3 Oct 1903 to 6 Oct 1903","42 - Malesia","","Philippines","","","","","","","",,"","",,,"","",,"","","","","","","","","","27 Apr 2017 18:02:00","http://n2t.net/ark:/65665/3b1ebde1e-a393-4ef1-b4d3-f369b40ae2db"
"01447759","625735","Flowering plants and ferns","","","Cyatheales","Cyatheaceae","","","Sphaeropteris glauca (Blume) R.M. Tryon","","F063 : Sphaeropteris glauca (Blume) R.M. Tryon : Cyatheaceae : Cyatheales : Pteridophyte","","",,"","","Mearns, E. A.","Bureau of Science 2899","3 Jun 1907 to 4 Jun 1907","42 - Malesia","","Philippines","","","Tabaco, Albany Prov., Luzon","","","","",,"","",,,"","",,"","","","","","","","","","09 Jun 2017 18:12:00","http://n2t.net/ark:/65665/3775a3ce0-ce0e-4fce-92e5-6cd70cd64e15"
"01457509","615650","Flowering plants and ferns","","","Polypodiales","Lindsaeaceae","","","Sphenomeris chinensis var. chinensis (L.) Maxon","","F070 : Sphenomeris chinensis var. chinensis (L.) Maxon : Lindsaeaceae : Polypodiales : Pteridophyte","","",,"","","Mearns, E. A.","s.n.","3 Oct 1903 to 6 Oct 1903","42 - Malesia","","Philippines","","","Philippine Islands, Butig Mts. Mindanao","","","","914 - 1524",,"","",,,"","",,"","","","","","","","","","16 Sep 2016 20:15:00","http://n2t.net/ark:/65665/348090e4d-f25e-4fa3-92db-48c9c647112b"
