Museum,Catalog Number - USNM,Special Collections,Class,Order,Family,Genus species,Other Identifications,Name Hierarchy,Type Status,Type Citations,Taxonomic Notes,Country,Province/State,District/County,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition/Project,Field Number(s),Date Collected,Preparation Details (Preparation:Remarks),Inventory Status,Status Remarks,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"NMNH","34881","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/3547e0e68-4bd2-48a5-9b5b-4b2c42907f55"
"NMNH","34882","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/3e1f8a4cc-6609-4a58-9dbc-a933a00d3135"
"NMNH","34884","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/391bffb12-d7e2-45c3-bd43-e408ed25f398"
"NMNH","34886","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/3ce80c574-e87c-45c6-8b50-e9a80fb627a1"
"NMNH","34793","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","Davao Del Sur","Mount Apo, Todaya","","",1067,"","No Field Number","1 Jul 1904","Ethanol","In collection","","","","","","","","","18 Dec 2018 16:34:00","http://n2t.net/ark:/65665/396e85323-d21e-474a-a374-42b181d37ac6"
"NMNH","34795","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","Davao Del Sur","Mount Apo, Todaya","","",1067,"","No Field Number","1 Jul 1904","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/3b4a5820c-9ce8-431d-b346-1f582f96b09d"
"NMNH","34797","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","Davao Del Sur","Mount Apo, Todaya","","",1067,"","No Field Number","1 Jul 1904","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/3e5f5451c-a42c-4f23-96c0-f6e6973abec1"
"NMNH","34815","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/356098199-fd28-4826-9ce4-6d0df6fb68dd"
"NMNH","34820","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/306da72e8-5779-4f41-adb3-ebbc76fdb521"
"NMNH","34823","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/311a84aa8-77b1-4103-a44e-e7601a51aed5"
